#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
238,2.743605,3.7203,3.0453,1.6849,0.4237,0.8564,-0.1675
239,2.743912,3.7183,2.997,1.7243,0.3317,0.7716,-0.2649
240,2.744122,3.7159,2.9595,1.7539,0.2628,0.7081,-0.3383
241,2.744203,3.7147,2.9359,1.7728,0.2172,0.6647,-0.3867
242,2.744465,3.7129,2.8933,1.8071,0.1389,0.5923,-0.47
243,2.744635,3.7114,2.8634,1.8317,0.0813,0.5399,-0.5305
244,2.745042,3.7083,2.8006,1.8822,-0.0338,0.4341,-0.6533
245,2.745206,3.7067,2.7689,1.9069,-0.0922,0.3805,-0.7146
246,2.745386,3.7051,2.7363,1.9333,-0.1524,0.3255,-0.7788
247,2.745563,3.7031,2.7063,1.9574,-0.2074,0.2757,-0.838
248,2.745842,3.701,2.6624,1.9909,-0.2838,0.2068,-0.9191
249,2.746191,3.698,2.6107,2.0311,-0.3756,0.1238,-1.0183
250,2.74642,3.696,2.5744,2.0603,-0.439,0.0669,-1.0867
251,2.746647,3.6935,2.5334,2.0921,-0.5126,-0.0003,-1.1655
252,2.746907,3.691,2.4891,2.1266,-0.5885,-0.0687,-1.2478
253,2.74714,3.689,2.4457,2.1605,-0.6658,-0.1382,-1.3302
254,2.747378,3.6865,2.3999,2.1959,-0.7456,-0.2094,-1.4156
255,2.747657,3.6835,2.3491,2.2353,-0.832,-0.2876,-1.5081
256,2.747829,3.6815,2.3122,2.2642,-0.8957,-0.344,-1.5773
257,2.748165,3.6781,2.2538,2.3089,-0.9946,-0.4322,-1.6842
258,2.7484,3.6752,2.2094,2.3432,-1.0689,-0.4972,-1.7639
259,2.748574,3.6732,2.1701,2.3735,-1.1342,-0.5546,-1.8349
260,2.74876,3.6703,2.1299,2.404,-1.1981,-0.6113,-1.9056
261,2.74903,3.6674,2.0779,2.4431,-1.2809,-0.6831,-1.9958
262,2.749137,3.666,2.0493,2.4637,-1.3242,-0.7194,-2.0431
263,2.749395,3.6626,1.9969,2.5045,-1.4087,-0.7932,-2.136
264,2.749558,3.6603,1.9583,2.5339,-1.4696,-0.8462,-2.203
265,2.749676,3.6583,1.9255,2.5594,-1.5232,-0.892,-2.2611
266,2.749854,3.6561,1.8799,2.5941,-1.5966,-0.9559,-2.3412
267,2.750023,3.6529,1.8348,2.6287,-1.6654,-1.0137,-2.4179
268,2.750222,3.6497,1.7804,2.6687,-1.7462,-1.0799,-2.5075
269,2.750443,3.6457,1.7176,2.7141,-1.8331,-1.1489,-2.6058
270,2.750645,3.6408,1.6525,2.7602,-1.9188,-1.215,-2.7049
271,2.75058,3.6366,1.6106,2.7883,-1.9662,-1.248,-2.7617
272,2.750785,3.6318,1.5282,2.8479,-2.0829,-1.3419,-2.8935
